
Basic functions

|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
|    | 00           | 01           | 02           | 03           | 04           | 05           | 06           | 07           |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 00 | NOP          | LD BC,nn     | LD (BC),A    | INC BC       | INC B        | DEC B        | LD B,n       | RLCA         |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 08 | EX AF,AFe    | ADD HL,BC    | LD A,(BC)    | DEC BC       | INC C        | DEC C        | LD C,n       | RRCA         |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 10 | DJNZ s       | LD DE,nn     | LD (DE),A    | INC DE       | INC D        | DEC D        | LD D,n       | RLA          |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 18 | JR *,s       | ADD HL,DE    | LD A,(DE)    | DEC DE       | INC E        | DEC E        | LD E,n       | RRA          |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 20 | JR NZ,s      | LD HL,nn     | LD (ww),HL   | INC HL       | INC H        | DEC H        | LD H,n       | DAA          |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 28 | JR Z,s       | ADD HL,HL    | LD HL,(ww)   | DEC HL       | INC L        | DEC L        | LD L,n       | CPL A        |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 30 | JR NC,s      | LD SP,nn     | LD (nn),A    | INC SP       | INC (HL)     | DEC (HL)     | LD (HL),n    | SCF          |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 38 | JR C,s       | ADD HL,SP    | LD A,(nn)    | DEC SP       | INC A        | DEC A        | LD A,n       | CCF          |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 40 | LD B,B       | LD B,C       | LD B,D       | LD B,E       | LD B,H       | LD B,L       | LD B,(HL)    | LD B,A       |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 48 | LD C,B       | LD C,C       | LD C,D       | LD C,E       | LD C,H       | LD C,L       | LD C,(HL)    | LD C,A       |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 50 | LD D,B       | LD D,C       | LD D,D       | LD D,E       | LD D,H       | LD D,L       | LD D,(HL)    | LD D,A       |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 58 | LD E,B       | LD E,C       | LD E,D       | LD E,E       | LD E,H       | LD E,L       | LD E,(HL)    | LD E,A       |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 60 | LD H,B       | LD H,C       | LD H,D       | LD H,E       | LD H,H       | LD H,L       | LD H,(HL)    | LD H,A       |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 68 | LD L,B       | LD L,C       | LD L,D       | LD L,E       | LD L,H       | LD L,L       | LD L,(HL)    | LD L,A       |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 70 | LD (HL),B    | LD (HL),C    | LD (HL),D    | LD (HL),E    | LD (HL),H    | LD (HL),L    | HALT         | LD (HL),A    |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 78 | LD A,B       | LD A,C       | LD A,D       | LD A,E       | LD A,H       | LD A,L       | LD A,(HL)    | LD A,A       |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 80 | ADD A,B      | ADD A,C      | ADD A,D      | ADD A,E      | ADD A,H      | ADD A,L      | ADD A,(HL)   | ADD A,A      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 88 | ADC A,B      | ADC A,C      | ADC A,D      | ADC A,E      | ADC A,H      | ADC A,L      | ADC A,(HL)   | ADC A,A      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 90 | SUB A,B      | SUB A,C      | SUB A,D      | SUB A,E      | SUB A,H      | SUB A,L      | SUB A,(HL)   | SUB A,A      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| 98 | SBC A,B      | SBC A,C      | SBC A,D      | SBC A,E      | SBC A,H      | SBC A,L      | SBC A,(HL)   | SBC A,A      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| a0 | AND A,B      | AND A,C      | AND A,D      | AND A,E      | AND A,H      | AND A,L      | AND A,(HL)   | AND A,A      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| a8 | XOR A,B      | XOR A,C      | XOR A,D      | XOR A,E      | XOR A,H      | XOR A,L      | XOR A,(HL)   | XOR A,A      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| b0 | OR A,B       | OR A,C       | OR A,D       | OR A,E       | OR A,H       | OR A,L       | OR A,(HL)    | OR A,A       |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| b8 | CP A,B       | CP A,C       | CP A,D       | CP A,E       | CP A,H       | CP A,L       | CP A,(HL)    | CP A,A       |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| c0 | RET NZ       | POP BC       | JP NZ,nn     | JP *,nn      | CALL NZ,nn   | PUSH BC      | ADD A,n      | RST 00h      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| c8 | RET Z        | RET *        | JP Z,nn      | CB*          | CALL Z,nn    | CALL *,nn    | ADC A,n      | RST 08h      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| d0 | RET NC       | POP DE       | JP NC,nn     | OUT (n),A    | CALL NC,nn   | PUSH DE      | SUB A,n      | RST 10h      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| d8 | RET C        | EXX          | JP C,nn      | IN A,(n)     | CALL C,nn    | DD*          | SBC A,n      | RST 18h      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| e0 | RET PO       | POP HL       | JP PO,nn     | EX (SP),HL   | CALL PO,nn   | PUSH HL      | AND A,n      | RST 20h      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
| e8 | RET PE       | JP *,HL      | JP PE,nn     | EX DE,HL     | CALL PE,nn   | ED*          | XOR A,n      | RST 28h      |
|----|--------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------|
